1.8792,0.9072,1.4256,NaN,1.134,0.7776,1.4256,1.5876,0.9072,0.7776,1.0044,0.7776,1.3284,NaN,NaN,2.1708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0044,1.0044,NaN,1.134,NaN,1.134,0.81,0.972,0.8748,1.1016,0.9396,1.1664,NaN,0.972,0.972,0.8748,1.782,1.7172,1.1664,1.458,1.296,0.9396,0.7776,1.1664,1.3284,1.2636,NaN,0.8748,0.7452,1.782,0.81,1.0692,1.0044,0.8748,1.2312,1.0692,0.9396,0.8424,1.0044,0.7452,1.1664,0.9396,1.1016,1.2636,1.1988,1.2636,1.3608,0.81,1.0368,1.0368
1.3284,1.3284,NaN,1.0044,NaN,0.8424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.458,NaN,NaN,NaN,NaN,NaN,1.5552,NaN,NaN,NaN,NaN,NaN,1.2312,1.3932,NaN,NaN,NaN,NaN,1.0692,1.6848,1.134,NaN,NaN,1.3932,1.134,1.3932,NaN,1.3932,1.3608,NaN,NaN,1.134,1.458,1.1988,1.134,1.2312,NaN
2.6892,1.944,2.8188,2.268,2.7864,2.3328,2.5596,1.9764,2.9808,2.5272,3.3696,2.3004,5.0544,2.754,2.9808,2.7864,3.24,2.5596,2.2356,2.8836,2.3004,2.2032,2.5596,2.1708,1.8792,2.4624,2.5272,3.1104,2.0088,3.3048,3.078,2.8836,3.1428,1.6524,2.0088,2.0736,2.43,2.3004,2.1708,1.62,1.134,NaN,NaN,NaN,NaN,NaN,1.0044,NaN,NaN,1.3284
0.972,NaN,0.9072,0.9396,NaN,1.62,0.7452,1.9764,1.3284,NaN,2.3328,1.2636,2.43,1.296,1.6848,NaN,1.1988,1.4256,2.0736,1.3284,1.134,NaN,1.6524,0.81,1.0044,0.81,NaN,NaN,NaN,1.5228,2.43,NaN,NaN,NaN,NaN,1.2312,NaN,2.3004,1.1988,NaN,0.7452,NaN,NaN,0.972,NaN,NaN,2.2356,1.62,NaN,NaN
1.5876,2.0736,1.0044,0.9396,1.0044,1.0044,0.9072,NaN,1.1664,0.972,0.9396,0.9396,1.1016,NaN,1.0044,NaN,0.9396,0.972,0.81,NaN,0.8748,0.9072,NaN,NaN,1.3284,NaN,1.1016,1.2312,0.7452,0.9396,0.9396,0.8748,NaN,NaN,NaN,NaN,NaN,NaN,2.2356,NaN,0.9072,NaN,0.8424,0.81,NaN,NaN,NaN,NaN,NaN,1.7172
0.81,NaN,NaN,0.81,NaN,NaN,NaN,NaN,1.0368,NaN,0.8424,0.8424,NaN,NaN,NaN,NaN,1.0368,NaN,NaN,1.134,1.0368,NaN,NaN,1.0368,NaN,0.8424,NaN,NaN,NaN,NaN,0.81,0.8424,NaN,1.3608,0.8748,1.1664,0.8748,NaN,NaN,0.7776,NaN,NaN,NaN,NaN,NaN,0.9396,NaN,0.8424,NaN,1.458
2.0412,1.0692,1.5228,2.106,1.296,1.9764,1.8468,2.268,2.106,2.3004,1.8144,1.3932,2.3652,2.268,1.9764,2.268,1.782,1.5552,2.3004,1.9764,1.782,1.4256,1.7496,1.5228,0.7452,NaN,NaN,NaN,NaN,NaN,1.134,NaN,NaN,NaN,NaN,NaN,NaN,1.5876,1.2636,0.9396,0.8748,1.2312,1.4904,1.2312,NaN,1.2312,NaN,1.0044,0.972,0.9072
1.3608,NaN,1.296,NaN,NaN,NaN,NaN,1.2312,1.4256,1.5552,NaN,NaN,1.3932,NaN,NaN,NaN,NaN,1.1988,NaN,NaN,NaN,NaN,1.0368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.134,0.7776,0.81,0.8424,0.8748,NaN,NaN,NaN,NaN,NaN,NaN,1.5876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.782,1.5552,1.7496,1.9116,2.3004,2.268,2.9808,2.6244,2.7864,2.8836,1.9116,1.944,3.0456,1.7496,2.3328,3.564,3.078,3.402,2.268,3.0456,2.9484,2.2356,NaN,NaN,NaN,0.9396,NaN,1.5876,3.1752,1.3932,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1016,0.9396,1.2312,NaN,1.1664
1.134,0.972,1.134,1.0692,1.1988,1.4256,0.9396,1.0368,1.1016,1.1988,1.134,1.0692,1.0368,0.9072,0.9072,1.1664,0.8748,0.9072,1.0368,0.81,0.8424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5552,1.8144,1.7172,1.7496,1.4904,2.2032,1.9764,1.62,1.944,1.5876,1.8144,1.2636,1.7496,1.5552,1.6524,1.62,1.3284,1.4904,1.6524,1.6848,1.5552,1.5552,1.3932,1.3932,1.458,1.3284,1.3284,1.3284,1.4904,1.1016,1.2312,0.9396,1.2312,1.1988,1.1664,1.1664,1.3608,0.9396,0.9072,1.3284,1.3608,1.1016,0.9396,1.1988,1.0368,1.1016,0.8748,1.1016,1.0692,1.0368
0.9396,0.8424,1.3608,1.5228,0.972,1.1016,1.1988,1.2636,1.3284,1.3608,1.1664,1.1988,1.62,1.7172,1.8468,1.2636,1.1016,1.5552,1.62,1.1664,1.2312,1.5228,1.1988,0.9396,1.782,1.0044,1.62,1.6524,1.1988,1.2312,1.8144,1.2312,1.7172,1.62,1.4256,1.6524,1.5876,1.458,1.296,1.3284,1.1988,1.3932,1.782,1.4904,1.0368,NaN,1.3932,1.2312,1.62,0.81
