Sample name,Total fission events:,Number of midzone fission events:,Number of peripheral fission events:,% midzone,% peripheral
Threshold Value:,0
Pro MiD 51 Series 001 (9000)tif,5,3,2,60.0,40.0
Pro MiD 51 Series 002 (9000)tif,19,9,10,47.368421052631575,52.63157894736842
Pro MiD 51 Series 003 (5000)tif,11,5,6,45.45454545454545,54.54545454545454
Pro MiD 51 Series 004 (6000)tif,0,0,0,0.0,0.0
Pro MiD 51 Series 005 (8300)tif,0,0,0,0.0,0.0
ProFIS1lif - Series001 (3700),1,1,0,100.0,0.0
ProFIS1lif - Series002 (6000),0,0,0,0.0,0.0
ProFIS1lif - Series003 (6500),2,2,0,100.0,0.0
ProFIS1lif - Series004 (4000),8,3,5,37.5,62.5
ProFIS1lif - Series005 (5000),1,1,0,100.0,0.0
ProMFFlif - Series001 (7000),0,0,0,0.0,0.0
ProMFFlif - Series002 (6500),7,3,4,42.857142857142854,57.14285714285714
ProMFFlif - Series003 (7500),0,0,0,0.0,0.0
ProMFFlif - Series004 (6000),0,0,0,0.0,0.0
ProMFFlif - Series005 (3500),24,12,12,50.0,50.0
ProMiD49lif - Series001 (6000),15,7,8,46.666666666666664,53.333333333333336
ProMiD49lif - Series002 (8500),3,2,1,66.66666666666666,33.33333333333333
ProMiD49lif - Series003 (12000),10,3,7,30.0,70.0
ProMiD49lif - Series004 (9000),0,0,0,0.0,0.0
ProMiD49lif - Series005 (9500),1,1,0,100.0,0.0
ProNC1lif - Series001 (4500),23,14,9,60.86956521739131,39.130434782608695
ProNC1lif - Series002 (4500),13,7,6,53.84615384615385,46.15384615384615
ProNC1lif - Series003 (6000),10,5,5,50.0,50.0
ProNC1lif - Series004 (6000),0,0,0,0.0,0.0

Threshold Value:,0.1
Pro MiD 51 Series 001 (9000)tif,5,3,2,60.0,40.0
Pro MiD 51 Series 002 (9000)tif,19,9,10,47.368421052631575,52.63157894736842
Pro MiD 51 Series 003 (5000)tif,11,5,6,45.45454545454545,54.54545454545454
Pro MiD 51 Series 004 (6000)tif,0,0,0,0.0,0.0
Pro MiD 51 Series 005 (8300)tif,0,0,0,0.0,0.0
ProFIS1lif - Series001 (3700),1,1,0,100.0,0.0
ProFIS1lif - Series002 (6000),0,0,0,0.0,0.0
ProFIS1lif - Series003 (6500),2,2,0,100.0,0.0
ProFIS1lif - Series004 (4000),8,3,5,37.5,62.5
ProFIS1lif - Series005 (5000),1,1,0,100.0,0.0
ProMFFlif - Series001 (7000),0,0,0,0.0,0.0
ProMFFlif - Series002 (6500),7,3,4,42.857142857142854,57.14285714285714
ProMFFlif - Series003 (7500),0,0,0,0.0,0.0
ProMFFlif - Series004 (6000),0,0,0,0.0,0.0
ProMFFlif - Series005 (3500),24,12,12,50.0,50.0
ProMiD49lif - Series001 (6000),15,7,8,46.666666666666664,53.333333333333336
ProMiD49lif - Series002 (8500),3,2,1,66.66666666666666,33.33333333333333
ProMiD49lif - Series003 (12000),10,3,7,30.0,70.0
ProMiD49lif - Series004 (9000),0,0,0,0.0,0.0
ProMiD49lif - Series005 (9500),1,1,0,100.0,0.0
ProNC1lif - Series001 (4500),23,14,9,60.86956521739131,39.130434782608695
ProNC1lif - Series002 (4500),13,7,6,53.84615384615385,46.15384615384615
ProNC1lif - Series003 (6000),10,5,5,50.0,50.0
ProNC1lif - Series004 (6000),0,0,0,0.0,0.0

Threshold Value:,0.2
Pro MiD 51 Series 001 (9000)tif,5,3,2,60.0,40.0
Pro MiD 51 Series 002 (9000)tif,19,9,10,47.368421052631575,52.63157894736842
Pro MiD 51 Series 003 (5000)tif,11,5,6,45.45454545454545,54.54545454545454
Pro MiD 51 Series 004 (6000)tif,0,0,0,0.0,0.0
Pro MiD 51 Series 005 (8300)tif,0,0,0,0.0,0.0
ProFIS1lif - Series001 (3700),1,1,0,100.0,0.0
ProFIS1lif - Series002 (6000),0,0,0,0.0,0.0
ProFIS1lif - Series003 (6500),2,2,0,100.0,0.0
ProFIS1lif - Series004 (4000),8,3,5,37.5,62.5
ProFIS1lif - Series005 (5000),1,1,0,100.0,0.0
ProMFFlif - Series001 (7000),0,0,0,0.0,0.0
ProMFFlif - Series002 (6500),7,3,4,42.857142857142854,57.14285714285714
ProMFFlif - Series003 (7500),0,0,0,0.0,0.0
ProMFFlif - Series004 (6000),0,0,0,0.0,0.0
ProMFFlif - Series005 (3500),24,12,12,50.0,50.0
ProMiD49lif - Series001 (6000),15,7,8,46.666666666666664,53.333333333333336
ProMiD49lif - Series002 (8500),3,2,1,66.66666666666666,33.33333333333333
ProMiD49lif - Series003 (12000),10,3,7,30.0,70.0
ProMiD49lif - Series004 (9000),0,0,0,0.0,0.0
ProMiD49lif - Series005 (9500),1,1,0,100.0,0.0
ProNC1lif - Series001 (4500),23,14,9,60.86956521739131,39.130434782608695
ProNC1lif - Series002 (4500),13,7,6,53.84615384615385,46.15384615384615
ProNC1lif - Series003 (6000),10,5,5,50.0,50.0
ProNC1lif - Series004 (6000),0,0,0,0.0,0.0

Threshold Value:,0.5
Pro MiD 51 Series 001 (9000)tif,5,3,2,60.0,40.0
Pro MiD 51 Series 002 (9000)tif,19,9,10,47.368421052631575,52.63157894736842
Pro MiD 51 Series 003 (5000)tif,11,5,6,45.45454545454545,54.54545454545454
Pro MiD 51 Series 004 (6000)tif,0,0,0,0.0,0.0
Pro MiD 51 Series 005 (8300)tif,0,0,0,0.0,0.0
ProFIS1lif - Series001 (3700),1,1,0,100.0,0.0
ProFIS1lif - Series002 (6000),0,0,0,0.0,0.0
ProFIS1lif - Series003 (6500),2,2,0,100.0,0.0
ProFIS1lif - Series004 (4000),8,3,5,37.5,62.5
ProFIS1lif - Series005 (5000),1,1,0,100.0,0.0
ProMFFlif - Series001 (7000),0,0,0,0.0,0.0
ProMFFlif - Series002 (6500),7,3,4,42.857142857142854,57.14285714285714
ProMFFlif - Series003 (7500),0,0,0,0.0,0.0
ProMFFlif - Series004 (6000),0,0,0,0.0,0.0
ProMFFlif - Series005 (3500),24,12,12,50.0,50.0
ProMiD49lif - Series001 (6000),15,7,8,46.666666666666664,53.333333333333336
ProMiD49lif - Series002 (8500),3,2,1,66.66666666666666,33.33333333333333
ProMiD49lif - Series003 (12000),10,3,7,30.0,70.0
ProMiD49lif - Series004 (9000),0,0,0,0.0,0.0
ProMiD49lif - Series005 (9500),1,1,0,100.0,0.0
ProNC1lif - Series001 (4500),23,14,9,60.86956521739131,39.130434782608695
ProNC1lif - Series002 (4500),13,7,6,53.84615384615385,46.15384615384615
ProNC1lif - Series003 (6000),10,5,5,50.0,50.0
ProNC1lif - Series004 (6000),0,0,0,0.0,0.0

Threshold Value:,1
Pro MiD 51 Series 001 (9000)tif,5,3,2,60.0,40.0
Pro MiD 51 Series 002 (9000)tif,19,9,10,47.368421052631575,52.63157894736842
Pro MiD 51 Series 003 (5000)tif,11,5,6,45.45454545454545,54.54545454545454
Pro MiD 51 Series 004 (6000)tif,0,0,0,0.0,0.0
Pro MiD 51 Series 005 (8300)tif,0,0,0,0.0,0.0
ProFIS1lif - Series001 (3700),1,1,0,100.0,0.0
ProFIS1lif - Series002 (6000),0,0,0,0.0,0.0
ProFIS1lif - Series003 (6500),2,2,0,100.0,0.0
ProFIS1lif - Series004 (4000),8,3,5,37.5,62.5
ProFIS1lif - Series005 (5000),1,1,0,100.0,0.0
ProMFFlif - Series001 (7000),0,0,0,0.0,0.0
ProMFFlif - Series002 (6500),7,3,4,42.857142857142854,57.14285714285714
ProMFFlif - Series003 (7500),0,0,0,0.0,0.0
ProMFFlif - Series004 (6000),0,0,0,0.0,0.0
ProMFFlif - Series005 (3500),24,12,12,50.0,50.0
ProMiD49lif - Series001 (6000),15,7,8,46.666666666666664,53.333333333333336
ProMiD49lif - Series002 (8500),3,2,1,66.66666666666666,33.33333333333333
ProMiD49lif - Series003 (12000),10,3,7,30.0,70.0
ProMiD49lif - Series004 (9000),0,0,0,0.0,0.0
ProMiD49lif - Series005 (9500),1,1,0,100.0,0.0
ProNC1lif - Series001 (4500),23,14,9,60.86956521739131,39.130434782608695
ProNC1lif - Series002 (4500),13,7,6,53.84615384615385,46.15384615384615
ProNC1lif - Series003 (6000),10,5,5,50.0,50.0
ProNC1lif - Series004 (6000),0,0,0,0.0,0.0

Threshold Value:,1.5
Pro MiD 51 Series 001 (9000)tif,5,3,2,60.0,40.0
Pro MiD 51 Series 002 (9000)tif,19,9,10,47.368421052631575,52.63157894736842
Pro MiD 51 Series 003 (5000)tif,11,5,6,45.45454545454545,54.54545454545454
Pro MiD 51 Series 004 (6000)tif,0,0,0,0.0,0.0
Pro MiD 51 Series 005 (8300)tif,0,0,0,0.0,0.0
ProFIS1lif - Series001 (3700),1,1,0,100.0,0.0
ProFIS1lif - Series002 (6000),0,0,0,0.0,0.0
ProFIS1lif - Series003 (6500),2,2,0,100.0,0.0
ProFIS1lif - Series004 (4000),8,3,5,37.5,62.5
ProFIS1lif - Series005 (5000),1,1,0,100.0,0.0
ProMFFlif - Series001 (7000),0,0,0,0.0,0.0
ProMFFlif - Series002 (6500),7,3,4,42.857142857142854,57.14285714285714
ProMFFlif - Series003 (7500),0,0,0,0.0,0.0
ProMFFlif - Series004 (6000),0,0,0,0.0,0.0
ProMFFlif - Series005 (3500),24,12,12,50.0,50.0
ProMiD49lif - Series001 (6000),15,7,8,46.666666666666664,53.333333333333336
ProMiD49lif - Series002 (8500),3,2,1,66.66666666666666,33.33333333333333
ProMiD49lif - Series003 (12000),10,3,7,30.0,70.0
ProMiD49lif - Series004 (9000),0,0,0,0.0,0.0
ProMiD49lif - Series005 (9500),1,1,0,100.0,0.0
ProNC1lif - Series001 (4500),23,14,9,60.86956521739131,39.130434782608695
ProNC1lif - Series002 (4500),13,7,6,53.84615384615385,46.15384615384615
ProNC1lif - Series003 (6000),10,5,5,50.0,50.0
ProNC1lif - Series004 (6000),0,0,0,0.0,0.0

Threshold Value:,2
Pro MiD 51 Series 001 (9000)tif,5,3,2,60.0,40.0
Pro MiD 51 Series 002 (9000)tif,19,9,10,47.368421052631575,52.63157894736842
